City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Edzell,GB,2020-06-16 01:00:23,56.81,-2.65,90,100,55.0,2.24
Arraial do Cabo,BR,2020-06-16 01:00:24,-22.97,-42.03,98,79,69.51,13.71
Iskateley,RU,2020-06-16 01:00:24,67.68,53.15,65,60,45.36,12.71
Mataura,NZ,2020-06-16 01:00:24,-46.19,168.86,100,82,51.28,4.65
Bilma,NE,2020-06-16 01:00:24,18.69,12.92,0,15,87.35,16.17
Prince Rupert,CA,2020-06-16 00:56:16,54.32,-130.32,75,76,55.4,3.36
Lompoc,US,2020-06-16 00:59:47,34.64,-120.46,100,87,57.2,11.41
Vaini,TO,2020-06-16 01:00:24,-21.2,-175.2,20,64,73.4,11.41
Makakilo City,US,2020-06-16 01:00:24,21.35,-158.09,75,78,80.6,18.77
Omboué,GA,2020-06-16 01:00:24,-1.57,9.26,73,92,72.45,7.0
Busselton,AU,2020-06-16 01:00:24,-33.65,115.33,91,52,66.0,14.74
Lakes Entrance,AU,2020-06-16 01:00:25,-37.88,147.98,99,52,66.99,1.99
Tasiilaq,GL,2020-06-16 01:00:25,65.61,-37.64,34,86,37.4,4.7
Tuktoyaktuk,CA,2020-06-16 01:00:25,69.45,-133.04,75,42,62.6,8.05
Nurota,UZ,2020-06-16 01:00:25,40.56,65.69,0,18,87.8,6.93
Ambilobe,MG,2020-06-16 01:00:25,-13.2,49.05,95,80,71.98,4.18
East London,ZA,2020-06-16 01:00:25,-33.02,27.91,40,93,51.8,6.93
Carauari,BR,2020-06-16 01:00:25,-4.88,-66.9,40,97,71.98,0.96
Hithadhoo,MV,2020-06-16 01:00:26,-0.6,73.08,28,76,84.69,14.07
Jamestown,US,2020-06-16 01:00:26,42.1,-79.24,1,58,57.2,6.93
Presidencia Roque Sáenz Peña,AR,2020-06-16 01:00:26,-26.79,-60.44,39,82,71.01,3.0
Jalu,LY,2020-06-16 01:00:26,29.03,21.55,0,75,71.31,18.5
Port Alfred,ZA,2020-06-16 01:00:26,-33.59,26.89,72,94,55.99,1.1
Huron,US,2020-06-16 01:00:26,41.15,-82.55,23,86,57.0,6.69
Castro,BR,2020-06-16 01:00:14,-24.79,-50.01,91,91,56.46,8.75
Dongsheng,CN,2020-06-16 01:00:26,39.82,109.98,87,21,79.27,8.48
Mehamn,NO,2020-06-16 01:00:26,71.04,27.85,75,80,41.0,19.46
Jinchang,CN,2020-06-16 01:00:26,38.5,102.17,100,24,75.02,7.78
Grand Gaube,MU,2020-06-16 01:00:27,-20.01,57.66,84,69,73.99,10.0
Hobart,AU,2020-06-16 01:00:16,-42.88,147.33,40,67,50.0,26.4
Atuona,PF,2020-06-16 00:58:33,-9.8,-139.03,88,73,80.49,14.58
Punta Arenas,CL,2020-06-16 01:00:00,-53.15,-70.92,24,93,35.6,6.93
Lebu,CL,2020-06-16 00:58:55,-37.62,-73.65,19,87,52.43,13.33
Três Lagoas,BR,2020-06-16 01:00:27,-20.75,-51.68,0,75,64.9,6.13
Bluff,NZ,2020-06-16 01:00:27,-46.6,168.33,88,79,55.44,12.41
Torbay,CA,2020-06-16 01:00:27,47.67,-52.73,90,100,50.0,5.82
Sibulan,PH,2020-06-16 01:00:27,9.36,123.28,75,79,86.0,6.93
Avarua,CK,2020-06-16 01:00:27,-21.21,-159.78,65,60,71.6,4.7
Ostrovnoy,RU,2020-06-16 01:00:27,68.05,39.51,97,70,44.33,16.46
Qaanaaq,GL,2020-06-16 00:58:48,77.48,-69.36,0,93,29.43,0.25
Cherskiy,RU,2020-06-16 01:00:27,68.75,161.3,5,24,78.78,1.88
Katsuura,JP,2020-06-16 01:00:28,35.13,140.3,20,58,87.01,17.22
Eureka,US,2020-06-16 01:00:28,40.8,-124.16,90,93,57.0,5.26
Batagay-Alyta,RU,2020-06-16 01:00:28,67.8,130.41,82,30,72.81,16.35
Saskylakh,RU,2020-06-16 01:00:28,71.92,114.08,59,56,55.53,21.77
Rome,US,2020-06-16 01:00:28,43.21,-75.46,1,81,53.6,3.36
Waddān,LY,2020-06-16 01:00:28,29.16,16.14,0,67,64.65,11.99
Lorengau,PG,2020-06-16 00:59:35,-2.02,147.27,100,74,84.51,10.51
Butaritari,KI,2020-06-16 01:00:28,3.07,172.79,7,74,84.43,9.31
Saint-Philippe,RE,2020-06-16 01:00:28,-21.36,55.77,50,60,72.0,11.41
Xichang,CN,2020-06-16 01:00:28,27.9,102.26,24,51,84.16,6.73
Reshetylivka,UA,2020-06-16 01:00:28,49.56,34.08,34,86,66.9,8.99
Cape Town,ZA,2020-06-16 01:00:28,-33.93,18.42,0,93,46.0,2.24
Emerald,AU,2020-06-16 01:00:10,-23.53,148.17,17,46,73.4,8.05
Nanortalik,GL,2020-06-16 01:00:29,60.14,-45.24,100,92,40.19,12.26
Luang Prabang,LA,2020-06-16 01:00:29,19.89,102.13,90,83,82.4,3.47
Saldanha,ZA,2020-06-16 01:00:29,-33.01,17.94,0,81,48.2,3.36
Sitka,US,2020-06-16 01:00:29,57.05,-135.33,75,71,55.4,12.75
Kapaa,US,2020-06-16 01:00:29,22.08,-159.32,20,69,80.6,16.11
Taoudenni,ML,2020-06-16 00:55:41,22.68,-3.98,0,13,94.05,13.78
Cidreira,BR,2020-06-16 00:59:16,-30.18,-50.21,5,88,61.03,12.84
Puerto Ayora,EC,2020-06-16 01:00:30,-0.74,-90.35,83,91,71.01,3.0
Bengkulu,ID,2020-06-16 01:00:30,-3.8,102.27,36,60,87.94,8.52
Rikitea,PF,2020-06-16 01:00:30,-23.12,-134.97,100,83,75.67,11.7
Lichinga,MZ,2020-06-16 01:00:30,-13.31,35.24,75,76,53.6,12.75
Kutum,SD,2020-06-16 01:00:30,14.2,24.67,51,43,77.85,2.15
Dikson,RU,2020-06-16 01:00:30,73.51,80.55,24,95,33.13,13.15
Yellowknife,CA,2020-06-16 00:58:09,62.46,-114.35,90,81,46.4,20.8
Grindsted,DK,2020-06-16 01:00:30,55.75,8.91,0,100,57.0,1.12
George Town,MY,2020-06-16 00:58:11,5.41,100.34,20,74,86.0,5.82
Carnarvon,AU,2020-06-16 01:00:06,-24.87,113.63,0,14,80.6,16.11
Clyde River,CA,2020-06-16 01:00:30,70.47,-68.59,90,100,30.2,12.75
Aswān,EG,2020-06-16 01:00:30,24.09,32.91,0,23,84.22,11.5
Araouane,ML,2020-06-16 00:59:27,18.9,-3.53,16,10,94.55,12.75
Nevers,FR,2020-06-16 01:00:31,46.99,3.16,90,93,57.0,4.7
Tiksi,RU,2020-06-16 01:00:31,71.69,128.87,97,67,56.84,21.9
Kahului,US,2020-06-16 01:00:31,20.89,-156.47,40,65,80.6,18.34
Hong Kong,HK,2020-06-16 01:00:02,22.29,114.16,0,74,86.0,5.01
Kidal,ML,2020-06-16 01:00:31,18.44,1.41,1,12,89.53,7.0
Closepet,IN,2020-06-16 01:00:31,12.72,77.3,40,74,84.0,11.41
Tuatapere,NZ,2020-06-16 01:00:31,-46.13,167.68,73,84,53.87,6.49
